Track,Player,Placement,GP Number
Desert Hills,Tom,7,7
Desert Hills,Callum,2,7
Desert Hills,Connor,4,7
Desert Hills,Matthew,1,7
Airship Fortress,Tom,5,7
Airship Fortress,Callum,2,7
Airship Fortress,Connor,1,7
Airship Fortress,Matthew,4,7
DK Pass,Tom,3,7
DK Pass,Callum,1,7
DK Pass,Connor,5,7
DK Pass,Matthew,2,7
Wario's Galleon,Tom,2,7
Wario's Galleon,Callum,3,7
Wario's Galleon,Connor,1,7
Wario's Galleon,Matthew,4,7
Crown City,Tom,3,7
Crown City,Callum,2,7
Crown City,Connor,1,7
Crown City,Matthew,6,7
Crown City -> Mario Bros. Circuit,Tom,5,7
Crown City -> Mario Bros. Circuit,Callum,1,7
Crown City -> Mario Bros. Circuit,Connor,2,7
Crown City -> Mario Bros. Circuit,Matthew,6,7
Great ? Block Ruins,Tom,5,7
Great ? Block Ruins,Callum,1,7
Great ? Block Ruins,Connor,6,7
Great ? Block Ruins,Matthew,3,7
Mario Circuit,Tom,5,7
Mario Circuit,Callum,3,7
Mario Circuit,Connor,2,7
Mario Circuit,Matthew,1,7
Shy Guy Bazaar,Tom,4,7
Shy Guy Bazaar,Callum,1,7
Shy Guy Bazaar,Connor,5,7
Shy Guy Bazaar,Matthew,3,7
Airship Fortress,Tom,5,8
Airship Fortress,Callum,3,8
Airship Fortress,Connor,2,8
Airship Fortress,Matthew,8,8
Moo Moo Meadows,Tom,5,8
Moo Moo Meadows,Callum,1,8
Moo Moo Meadows,Connor,3,8
Moo Moo Meadows,Matthew,4,8
Bowser's Castle,Tom,3,8
Bowser's Castle,Callum,1,8
Bowser's Castle,Connor,2,8
Bowser's Castle,Matthew,4,8
DK Pass,Tom,6,8
DK Pass,Callum,1,8
DK Pass,Connor,3,8
DK Pass,Matthew,2,8
Starview Peak,Tom,1,8
Starview Peak,Callum,2,8
Starview Peak,Connor,3,8
Starview Peak,Matthew,6,8
Crown City,Tom,1,8
Crown City,Callum,4,8
Crown City,Connor,3,8
Crown City,Matthew,2,8
Whistlestop Summit,Tom,1,8
Whistlestop Summit,Callum,4,8
Whistlestop Summit,Connor,3,8
Whistlestop Summit,Matthew,7,8
Mario Circuit,Tom,5,8
Mario Circuit,Callum,3,8
Mario Circuit,Connor,1,8
Mario Circuit,Matthew,4,8
Great ? Block Ruins,Tom,4,8
Great ? Block Ruins,Callum,3,8
Great ? Block Ruins,Connor,2,8
Great ? Block Ruins,Matthew,1,8
Mario Bros. Circuit,Tom,1,8
Mario Bros. Circuit,Callum,2,8
Mario Bros. Circuit,Connor,3,8
Mario Bros. Circuit,Matthew,4,8
Boo Cinema,Tom,2,8
Boo Cinema,Callum,3,8
Boo Cinema,Connor,6,8
Boo Cinema,Matthew,1,8
Dandelion Depths,Tom,1,8
Dandelion Depths,Callum,2,8
Dandelion Depths,Connor,3,8
Dandelion Depths,Matthew,4,8
Sky-High Sundae,Tom,1,8
Sky-High Sundae,Callum,3,8
Sky-High Sundae,Connor,7,8
Sky-High Sundae,Matthew,4,8
Peach Stadium,Tom,3,8
Peach Stadium,Callum,2,8
Peach Stadium,Connor,1,8
Peach Stadium,Matthew,4,8
Faraway Oasis,Tom,1,8
Faraway Oasis,Callum,4,8
Faraway Oasis,Connor,5,8
Faraway Oasis,Matthew,3,8
Dry Bones Burnout,Tom,3,8
Dry Bones Burnout,Callum,1,8
Dry Bones Burnout,Connor,2,8
Dry Bones Burnout,Matthew,4,8
Choco Mountain,Tom,2,9
Choco Mountain,Callum,1,9
Choco Mountain,Connor,3,9
Choco Mountain,Matthew,6,9
Dry Bones Burnout,Tom,2,9
Dry Bones Burnout,Callum,1,9
Dry Bones Burnout,Connor,4,9
Dry Bones Burnout,Matthew,3,9
Mario Bros. Circuit,Tom,1,9
Mario Bros. Circuit,Callum,2,9
Mario Bros. Circuit,Connor,3,9
Mario Bros. Circuit,Matthew,10,9
Bowser's Castle,Tom,2,9
Bowser's Castle,Callum,4,9
Bowser's Castle,Connor,3,9
Bowser's Castle,Matthew,5,9
Great ? Block Ruins,Tom,1,9
Great ? Block Ruins,Callum,6,9
Great ? Block Ruins,Connor,4,9
Great ? Block Ruins,Matthew,3,9
Airship Fortress,Tom,1,9
